2023-10-15 08:24:05,PCCC1,774693,598376,g/dL,ALB2,3.54868,3.35,0.2
2023-10-15 08:24:05,PCCC2,774707,595396,g/dL,ALB2,5.56457,5.41,0.32
2023-10-15 08:24:21,PCCC2,774707,595396,U/L,ALP2S,233.71626,239.0,14.0
2023-10-15 08:24:20,PCCC1,774693,598376,U/L,ALP2S,110.00078,113.0,7.0
2023-10-15 08:24:36,PCCC2,774707,595396,U/L,ALTL,120.5474,124.0,7.0
2023-10-15 08:24:35,PCCC1,774693,598376,U/L,ALTL,51.15693,48.1,2.9
2023-10-15 08:24:57,PCCC2,774707,595396,U/L,AMYL2,193.25816,191.0,11.0
2023-10-15 08:24:56,PCCC1,774693,598376,U/L,AMYL2,82.86439,80.1,4.8
2023-10-15 08:25:18,PCCC1,774693,598376,U/L,ASTL,45.5826,44.2,2.7
2023-10-15 08:25:18,PCCC2,774707,595396,U/L,ASTL,142.53317,141.0,8.0
2023-10-15 08:25:39,PCCC1,774693,598376,mg/dL,BILD2,0.90207,0.942,0.075
2023-10-15 08:25:39,PCCC2,774707,595396,mg/dL,BILD2,2.53982,2.6,0.21
2023-10-15 08:26:00,PCCC1,774693,598376,mg/dL,BILT3,0.96566,0.971,0.058
2023-10-15 08:26:00,PCCC2,774707,595396,mg/dL,BILT3,3.42549,3.57,0.21
2023-10-15 08:26:22,PCCC2,774707,595396,mg/dL,CA2,13.73595,13.5,0.5
2023-10-15 08:26:21,PCCC1,774693,598376,mg/dL,CA2,9.23657,8.86,0.35
2023-10-15 08:26:43,PCCC2,774707,595396,mg/dL,CHOL2,165.36288,166.0,8.0
2023-10-15 08:26:43,PCCC1,774693,598376,mg/dL,CHOL2,105.92296,102.0,5.0
2023-10-15 08:27:04,PCCC1,774693,598376,U/L,CK2,147.32468,151.0,9.0
2023-10-15 08:27:04,PCCC2,774707,595396,U/L,CK2,256.69699,267.0,16.0
2023-10-15 08:27:26,PCCC1,774693,598376,U/L,CKMB2,41.43404,42.1,3.4
2023-10-15 08:27:26,PCCC2,774707,595396,U/L,CKMB2,92.01659,93.0,7.4
2023-10-15 22:59:48,PCCC2,774707,595396,mmol/L,CL-D,112.63095,108.0,3.0
2023-10-15 22:59:47,PCCC1,774693,598376,mmol/L,CL-D,90.75051,87.0,2.6
2023-10-15 17:48:24,PCCC1,774693,598376,mmol/L,CL-D,92.01035,87.0,2.6
2023-10-15 17:48:23,PCCC2,774707,595396,mmol/L,CL-D,111.52229,108.0,3.0
2023-10-15 17:29:20,PCCC1,774693,598376,mmol/L,CL-D,89.84912,87.0,2.6
2023-10-15 08:36:39,PCCC2,774707,595396,mmol/L,CL-D,112.30649,108.0,3.0
2023-10-15 08:36:38,PCCC1,774693,598376,mmol/L,CL-D,91.80231,87.0,2.6
2023-10-15 08:27:47,PCCC1,774693,598376,mg/dL,CREJ2,1.17411,1.07,0.06
2023-10-15 08:27:47,PCCC2,774707,595396,mg/dL,CREJ2,3.78247,3.56,0.21
2023-10-15 08:36:18,PCCC2,774707,595396,mg/dl,CRP4,5.01466,5.1,0.34
2023-10-15 08:36:17,PCCC1,774693,598376,mg/dl,CRP4,0.58209,0.607,0.041
2023-10-15 08:28:08,PCCC1,774693,598376,U/L,GGTI2,55.40187,54.6,3.3
2023-10-15 08:28:08,PCCC2,774707,595396,U/L,GGTI2,222.47746,225.0,14.0
2023-10-15 08:28:29,PCCC1,774693,598376,mg/dL,GLUC3,104.62401,102.0,5.0
2023-10-15 08:28:29,PCCC2,774707,595396,mg/dL,GLUC3,238.52982,243.0,12.0
2023-10-15 18:08:10,PCCC1,774693,598376,mg/dL,HDLC4,29.63558,29.0,2.3
2023-10-15 18:08:10,PCCC2,774707,595396,mg/dL,HDLC4,51.13444,49.5,4.0
2023-10-15 08:28:51,PCCC2,774707,595396,mg/dL,HDLC4,50.42481,49.5,4.0
2023-10-15 08:28:50,PCCC1,774693,598376,mg/dL,HDLC4,29.30239,29.0,2.3
2023-10-15 22:59:48,PCCC2,774707,595396,mmol/L,K-D,8.35702,8.03,0.24
2023-10-15 22:59:47,PCCC1,774693,598376,mmol/L,K-D,4.04749,3.9,0.12
2023-10-15 17:48:23,PCCC1,774693,598376,mmol/L,K-D,4.08459,3.9,0.12
2023-10-15 17:48:23,PCCC2,774707,595396,mmol/L,K-D,8.20645,8.03,0.24
2023-10-15 17:29:20,PCCC1,774693,598376,mmol/L,K-D,3.98216,3.9,0.12
